act_fun	layers	neurons	alpha	iterations	batch_size	batch_count	std_dev	train_err	test_err	train_score	test_score		layers_structure
sigmoid	2	60	0,1	1	10	1	0,01	0,0909	0,0908	9,93%	10,32%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	10	1	0,01	0,0908	0,0908	9,93%	10,32%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	10	1	0,01	0,0901	0,0901	9,93%	10,32%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	10	1	0,01	0,0901	0,0901	9,93%	10,32%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	10	1	0,01	0,0901	0,0901	9,93%	10,32%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	10	1	0,01	0,0901	0,0901	9,93%	10,32%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	10	1	0,01	0,0907	0,0906	9,93%	10,32%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	10	1	0,01	0,0911	0,0910	9,93%	10,32%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	10	1	0,01	0,0923	0,0922	9,93%	10,32%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	10	1	0,01	0,0901	0,0901	9,93%	10,32%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	10	1	0,01	0,0901	0,0900	9,93%	10,32%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	10	1	0,01	0,0908	0,0908	9,93%	10,32%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	10	1	0,01	0,0902	0,0902	9,93%	10,32%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	10	1	0,01	0,0900	0,0900	9,87%	9,80%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	10	1	0,01	0,0900	0,0900	9,93%	10,32%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	1	10	100	0,01	0,0904	0,0904	9,74%	9,82%		[(784, 50), (50, 10)]
tanh	2	60	0,1	1	10	100	0,01	0,0499	0,0494	66,62%	67,32%		[(784, 50), (50, 10)]
relu	2	60	0,1	1	10	100	0,01	0,0470	0,0462	65,75%	66,55%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	1	10	100	0,01	0,0903	0,0903	9,74%	9,82%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	1	10	100	0,01	0,0902	0,0902	10,44%	10,28%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	1	10	100	0,01	0,0901	0,0901	10,44%	10,28%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	1	10	100	0,01	0,0906	0,0906	9,74%	9,82%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	1	10	100	0,01	0,0900	0,0900	10,44%	10,28%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	1	10	100	0,01	0,0900	0,0900	10,44%	10,28%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	1	10	100	0,01	0,0907	0,0907	9,74%	9,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	1	10	100	0,01	0,0901	0,0901	10,44%	10,28%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	1	10	100	0,01	0,0909	0,0908	9,74%	9,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	1	10	100	0,01	0,0903	0,0903	9,74%	9,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	1	10	100	0,01	0,0902	0,0902	9,74%	9,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	1	10	100	0,01	0,0901	0,0901	10,44%	10,28%		[(784, 20), (20, 40), (40, 30), (30, 10)]
